list_name,name,label::English,label::Somali,district,country,region
uuid,BAL-TBC-1,Balcad,Balcad,balcad,somalia,middle_shabelle
uuid,BAL-TBC-2,Balcad,Balcad,balcad,somalia,middle_shabelle
uuid,NA-3704-A31-001,Camp 1,Camp 1,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A32-001,Gaawido,Gaawido,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A32-002,Odaa (1),Odaa (1),beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A32-003,Malkaariyey,Malkaariyey,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A32-004,Odaa 2,Odaa 2,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A33-001,Qurac Bilash,Qurac Bilash,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-A33-002,Lebi Dhaxwey,Lebi Dhaxwey,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-001,Camp 2,Camp 2,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-002,Beled Aamin,Beled Aamin,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-003,Garowo,Garowo,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-004,Booc Booc,Booc Booc,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-005,Farjanno,Farjanno,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-006,Horseed,Horseed,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-007,Buurka,Buurka,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-008,Dhabad,Dhabad,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-009,Wadajir,Wadajir,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-010,Hananley,Hananley,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-011,Qansax Oomane,Qansax Oomane,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B31-012,Bulahawa,Bulahawa,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B32-001,Qurac Ijaabo,Qurac Ijaabo,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B32-002,Jiracle,Jiracle,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B32-003,Oodan,Oodan,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B32-004,Carabo,Carabo,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B33-001,Wiyil,Wiyil,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B33-002,Ubo,Ubo,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B33-003,Jacjacley,Jacjacley,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B33-004,Qalafdhere,Qalafdhere,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-B33-005,Laan Abeer,Laan Abeer,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C31-001,War Cadoy,War Cadoy,belet_xaawo,somalia,gedo
uuid,NA-3704-C31-002,Bannaney,Bannaney,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C31-003,War Gududo,War Gududo,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C32-001,Tuulo Qallooc,Tuulo Qallooc,belet_xaawo,somalia,gedo
uuid,NA-3704-C32-002,Malmalley,Malmalley,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C32-003,Ceel Booco,Ceel Booco,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C33-001,Quracley,Quracley,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C33-002,Kheyrad,Kheyrad,beletxaawo_doolow,somalia,gedo
uuid,NA-3704-C33-003,Wariiryale,Wariiryale,beletxaawo_doolow,somalia,gedo
